epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,967.389,0.51733,2.97511,0.227,0.40513,1.09934,0.99618,1,0.995,0.95085,0.75766,0.76022,0.68119,0.33756,0.32738,3.09814,0.01963,0.24496,1.01986,0.000897313,0.000897313,0.000897313
59,983.423,0.52368,2.91745,0.21733,0.41001,1.10265,0.99258,1,0.995,0.94474,0.73861,0.74409,0.70214,0.35438,0.36385,3.13752,0.02267,0.24491,1.05946,0.000891125,0.000891125,0.000891125
60,999.282,0.52569,2.98365,0.21948,0.41534,1.10518,0.99594,1,0.995,0.94258,0.80686,0.80941,0.7967,0.38037,0.35873,3.13077,0.01739,0.25607,1.04384,0.000884938,0.000884938,0.000884938
61,1015.42,0.52276,2.93905,0.21498,0.40366,1.09651,0.99558,1,0.995,0.93837,0.79049,0.79328,0.73414,0.33941,0.35989,3.14061,0.01821,0.24491,1.04645,0.00087875,0.00087875,0.00087875
62,1031.42,0.52935,2.9492,0.21453,0.41999,1.10462,0.99191,0.99299,0.995,0.94071,0.6946,0.7031,0.63689,0.3156,0.3615,3.29201,0.02092,0.24205,1.05281,0.000872563,0.000872563,0.000872563
63,1047.51,0.51285,2.92414,0.21591,0.3999,1.08941,0.99248,1,0.995,0.94463,0.7327,0.7364,0.68885,0.34854,0.33465,3.25618,0.0129,0.23188,1.02501,0.000866375,0.000866375,0.000866375
64,1063.52,0.52107,2.85917,0.2136,0.41171,1.10075,0.99533,1,0.995,0.94839,0.75726,0.75941,0.72387,0.35271,0.36636,3.11547,0.01569,0.25628,1.05858,0.000860188,0.000860188,0.000860188
65,1079.83,0.51526,2.84517,0.21458,0.40171,1.09445,0.99228,0.98833,0.995,0.93862,0.65214,0.63373,0.61439,0.336,0.34339,3.28082,0.02049,0.24065,1.01829,0.000854,0.000854,0.000854
66,1096.02,0.51609,2.93856,0.21344,0.40651,1.09269,0.99548,1,0.995,0.95598,0.76163,0.76384,0.69342,0.35107,0.34079,3.05202,0.00869,0.24836,1.01819,0.000847813,0.000847813,0.000847813
67,1112.14,0.50678,2.94958,0.21288,0.40529,1.09436,0.99526,1,0.995,0.94823,0.78966,0.78884,0.72545,0.35245,0.36116,3.05865,0.02118,0.25087,1.06695,0.000841625,0.000841625,0.000841625
68,1128.25,0.50503,2.91441,0.21415,0.3947,1.08726,0.99074,1,0.995,0.95941,0.76698,0.77272,0.74579,0.37416,0.32125,3.07746,0.01307,0.23024,1.02505,0.000835438,0.000835438,0.000835438
69,1144.09,0.51723,2.85526,0.21517,0.40477,1.1002,0.99321,0.99993,0.995,0.9598,0.78036,0.77634,0.73326,0.35069,0.32986,3.14326,0.01201,0.24203,1.02047,0.00082925,0.00082925,0.00082925
70,1160.17,0.51203,2.82268,0.21343,0.4017,1.09308,0.99356,0.98996,0.995,0.95638,0.78265,0.77634,0.72903,0.37079,0.31846,3.06027,0.01883,0.22556,1.00691,0.000823063,0.000823063,0.000823063
71,1176.47,0.50927,2.86686,0.21041,0.40556,1.09823,0.99278,1,0.995,0.95593,0.80491,0.79691,0.73874,0.34208,0.32804,3.07728,0.01416,0.24414,1.0118,0.000816875,0.000816875,0.000816875
72,1192.06,0.50304,2.8025,0.2131,0.39168,1.08892,0.99219,1,0.995,0.94796,0.76803,0.77272,0.71824,0.33526,0.32027,3.11104,0.01486,0.22101,1.00044,0.000810688,0.000810688,0.000810688
73,1208.26,0.49524,2.8493,0.21447,0.38872,1.08163,0.99089,0.9981,0.995,0.9573,0.77513,0.76828,0.72548,0.36479,0.32159,3.07281,0.01498,0.24564,1.01993,0.0008045,0.0008045,0.0008045
74,1224.2,0.49657,2.84638,0.21039,0.39434,1.08833,0.99539,1,0.995,0.96248,0.78895,0.79247,0.75364,0.36806,0.33323,3.07568,0.02285,0.24588,1.01372,0.000798313,0.000798313,0.000798313
75,1240.36,0.50079,2.79397,0.20665,0.38508,1.0847,0.99472,1,0.995,0.96277,0.77613,0.78024,0.77369,0.3495,0.29893,3.18586,0.01769,0.21165,0.99013,0.000792125,0.000792125,0.000792125
76,1256.25,0.50485,2.76276,0.21479,0.39514,1.08737,0.9927,1,0.995,0.95088,0.77426,0.78079,0.73225,0.35726,0.31616,3.09057,0.01811,0.24576,1.0061,0.000785938,0.000785938,0.000785938
77,1272.44,0.49855,2.81771,0.20909,0.38496,1.08414,0.98836,0.99844,0.995,0.95577,0.82272,0.81774,0.76013,0.35219,0.33278,3.03516,0.01471,0.2246,1.00911,0.00077975,0.00077975,0.00077975
78,1288.58,0.48288,2.7859,0.2157,0.38339,1.0821,0.99141,1,0.995,0.95185,0.77765,0.78441,0.7702,0.36235,0.332,3.0975,0.02252,0.25541,1.02115,0.000773563,0.000773563,0.000773563
79,1304.66,0.49448,2.79836,0.20962,0.38228,1.08016,0.99593,1,0.995,0.9575,0.7655,0.76828,0.72397,0.36461,0.29135,3.10107,0.01289,0.2175,0.98717,0.000767375,0.000767375,0.000767375
80,1320.38,0.49308,2.74957,0.2153,0.38243,1.08355,0.99588,1,0.995,0.95054,0.77726,0.78024,0.68442,0.32585,0.32616,3.08961,0.02052,0.232,1.00219,0.000761188,0.000761188,0.000761188
81,1336.77,0.48878,2.75976,0.20801,0.38542,1.08227,0.99158,0.99222,0.995,0.95965,0.82541,0.81774,0.7694,0.36261,0.32117,3.00264,0.01368,0.24456,1.00869,0.000755,0.000755,0.000755
82,1352.88,0.47744,2.72474,0.20704,0.37697,1.07936,0.98769,0.99782,0.995,0.9586,0.82511,0.81774,0.79351,0.37493,0.29542,3.03793,0.0099,0.21536,0.98191,0.000748813,0.000748813,0.000748813
83,1369.23,0.48504,2.71029,0.20629,0.38289,1.07444,0.99614,1,0.995,0.9641,0.77012,0.77191,0.69744,0.32886,0.33205,3.06062,0.01687,0.21844,1.00531,0.000742625,0.000742625,0.000742625
84,1385.5,0.48649,2.71635,0.20552,0.38093,1.08035,0.99508,0.98889,0.995,0.96737,0.80488,0.79691,0.762,0.36311,0.29355,3.08122,0.01368,0.21051,0.98659,0.000736438,0.000736438,0.000736438
85,1401.39,0.48423,2.77613,0.19862,0.37781,1.08063,0.99164,0.99762,0.995,0.96123,0.82527,0.81774,0.79814,0.39471,0.32648,3.00952,0.01413,0.22079,1.01312,0.00073025,0.00073025,0.00073025
86,1417.62,0.48311,2.74427,0.20426,0.37535,1.07815,0.99445,1,0.995,0.95634,0.82053,0.81774,0.79985,0.39001,0.29349,2.92184,0.01791,0.20745,0.98295,0.000724062,0.000724062,0.000724062
87,1433.65,0.48664,2.71194,0.20667,0.37445,1.07793,0.99283,0.9875,0.9944,0.96219,0.78445,0.78024,0.75736,0.38962,0.29774,2.99366,0.01254,0.21896,0.98219,0.000717875,0.000717875,0.000717875
88,1449.73,0.49221,2.7175,0.20895,0.38358,1.07645,0.99214,0.9875,0.99386,0.94839,0.77673,0.76774,0.74212,0.37146,0.31897,3.05361,0.02359,0.22898,1.00392,0.000711687,0.000711687,0.000711687
